12;'Den König von Spanien hab ich allzeit geehrt' heißt es wörtlich in der Nationalhymne;Andorras;Portugals;Belgiens;der Niederlande;D
5;Wie viele Tage hat der April;28;28 oder 29;30;31;C
8;'Ons Heemecht' heißt die Nationalhymne;der Niederlande;Belgiens;Luxemburgs;Südafrikas;C
15;Mit den Worten 'Es liegt ein lieblich Land im Schatten breiter Buchen' beginnt;die Nationalhymne Dänemarks;das Lied 717 aus dem kirchlichen Gesangsbuch;ein bekanntes, altes süddeutsches Volkslied;ein Karnevalsschlager;A
15;Eine Kolonie welcher Pinguinart gilt als die südlichste?;Königspinguin;Gelbaugenpinguin;Kaiserpinguin ;Adeliepinguin;D
12;Wem wurde an der Porta Westfalica ein Denkmal errichtet?;Kaiser Wilhelm II;Hermann der Cherusker;Kaiser Wilhelm I;Ludwig II;C
14;Welche ist die älteste Autobahn Deutschlands?;A1;A2;A555;AVUS (Teil der A115);C
15;In welchem Jahr wurde Angela Merkel geboren?;1953;1954;1955;1956;B
13;Wo wurde Angela Merkel geboren?;Hannover;Hamburg;Berlin;Frankfurt;B
5;Wie heißt eine Wüste in Afrika?;Sahara;Saharah;Saharha;Saharhah;A
9;Welche Wüste liegt in Australien?;Sahara;Gobi;Tanami;Atacama;C
11;Wer hat 'Tiere vor der Kamera'?;Ernst Arendt und Hans Schweiger;Dirk Steffens;Bernhard Grzimek;Heinz Sielmann;A
10;Wo leben Wombats?;Neuseeland;Papua-Neuguinea;Australien;Mittelamerika;C
9;Was sind Wombats?;Fledermäuse ;Beuteltiere;Tiefseefische;Spinnentiere;B
8;Wer trifft sich nicht im natürlichen Lebensraum?;Kea und Känguru;Pinguin und Buckelwal;Känguru und Paradiesvogel;Katz und Maus;A
2;In der Nacht sind alle Katzen…;blau;grau;gelb ;grün;B
3;Wobei handelt es sich um ein Nagetier?;Sechsschnarcher;Siebenschläfer;Achtdöser;Neunträumer;B
